"","Dataset","Model","FS_Method","RA","CLR","logRA","PA"
"81","CD1","KNN","Relief50",0.628044871794872,0.711294871794872,0.721341346153846,0.735985576923077
"82","CD1","KNN","RF100",0.751009615384616,0.774895833333333,0.777823717948718,0.751866987179487
"83","CD1","KNN","RF50",0.759073717948718,0.772065705128205,0.788554487179487,0.737485576923077
"84","CD1","KNN","VAE",0.579419871794872,0.533866987179487,0.500481837606838,0.601758547008547
"85","CD1","LogisticRegression","AE100",0.719411324786325,0.788491452991453,0.784236111111111,0.764823717948718
"86","CD1","LogisticRegression","AE50",0.707529914529915,0.777017094017094,0.70174358974359,0.75625641025641
"87","CD1","LogisticRegression","LASSO",0.683214743589744,0.796846153846154,0.793695512820513,0.747326923076923
"88","CD1","LogisticRegression","MIFS100",0.713301282051282,0.785208333333333,0.760451923076923,0.67305608974359
"89","CD1","LogisticRegression","MIFS50",0.677759615384615,0.785657051282051,0.756932692307692,0.596100961538461
"90","CD1","LogisticRegression","mRMR100",0.786823717948718,0.806935897435898,0.810108974358974,0.791676282051282
"91","CD1","LogisticRegression","mRMR50",0.778894230769231,0.78649358974359,0.797309294871795,0.767410256410256
"92","CD1","LogisticRegression","Relief100",0.743237179487179,0.744541666666667,0.769900641025641,0.760038461538462
"93","CD1","LogisticRegression","Relief50",0.766955128205128,0.742394230769231,0.771650641025641,0.760078525641026
"94","CD1","LogisticRegression","RF100",0.767487179487179,0.802814102564102,0.79086858974359,0.771573717948718
"95","CD1","LogisticRegression","RF50",0.766150641025641,0.794384615384615,0.799721153846154,0.769208333333333
"96","CD1","LogisticRegression","VAE",0.620909188034188,0.727660256410256,0.585643162393162,0.649629273504273
"97","CD1","RandomForest","AE100",0.71867735042735,0.759873931623932,0.751468482905983,0.731868055555556
"98","CD1","RandomForest","AE50",0.74467094017094,0.754449786324786,0.651760683760684,0.729745726495727
"99","CD1","RandomForest","LASSO",0.793565705128205,0.746605769230769,0.781258012820513,0.76626282051282
"100","CD1","RandomForest","MIFS100",0.723724358974359,0.736354166666667,0.728397435897436,0.679533653846154
"101","CD1","RandomForest","MIFS50",0.654144230769231,0.724084935897436,0.734179487179487,0.583607371794872
"102","CD1","RandomForest","mRMR100",0.805038461538461,0.756352564102564,0.777685897435897,0.789522435897436
"103","CD1","RandomForest","mRMR50",0.798615384615385,0.766908653846154,0.786426282051282,0.768054487179487
"104","CD1","RandomForest","Relief100",0.793100961538462,0.748751602564103,0.771801282051282,0.7785625
"105","CD1","RandomForest","Relief50",0.797235576923077,0.748721153846154,0.769020833333333,0.773379807692308
"106","CD1","RandomForest","RF100",0.816967948717949,0.741080128205128,0.770320512820513,0.781495192307692
"107","CD1","RandomForest","RF50",0.799983974358975,0.747644230769231,0.774310897435897,0.763878205128205
"108","CD1","RandomForest","VAE",0.666792735042735,0.630095085470086,0.586411324786325,0.616798076923077
"109","CD1","SVM","AE100",0.692540598290598,0.786136752136752,0.754995726495727,0.767986645299146
"110","CD1","SVM","AE50",0.689464743589744,0.787497863247863,0.694557692307692,0.769797008547009
"111","CD1","SVM","LASSO",0.63725641025641,0.796198717948718,0.793330128205128,0.760160256410257
"112","CD1","SVM","MIFS100",0.720982371794872,0.799169871794872,0.769785256410257,0.656177884615385
"113","CD1","SVM","MIFS50",0.641613782051282,0.78525,0.767778846153846,0.59388141025641
"114","CD1","SVM","mRMR100",0.756259615384615,0.81174358974359,0.831375,0.785246794871795
"115","CD1","SVM","mRMR50",0.758549679487179,0.800987179487179,0.804088141025641,0.76723717948718
