Dataset,Model,AUC,Method,Normalization
OB,Boosting,0.8080594405594407,None,LogTSS
PAR1,Boosting,0.7340444444444444,None,LogTSS
PAR2,Boosting,0.7193231186158014,None,LogTSS
PAR3,Boosting,0.7745315892815893,None,LogTSS
ART,Boosting,0.6256209150326797,None,LogTSS
CDI,KNN,0.7194624955245256,None,LogTSS
CIR,KNN,0.5976727272727272,None,LogTSS
CRC1,KNN,0.582797027828611,None,LogTSS
CRC2,KNN,0.6548754208754209,None,LogTSS
CD1,KNN,0.5967243589743589,None,LogTSS
CD2,KNN,0.6236925647451963,None,LogTSS
HIV,KNN,0.5585757044436179,None,LogTSS
IBD1,KNN,0.7134395604395606,None,LogTSS
IBD2,KNN,0.5904688644688645,None,LogTSS
MHE,KNN,0.7453636363636365,None,LogTSS
OB,KNN,0.7402942890442891,None,LogTSS
PAR1,KNN,0.6280761904761905,None,LogTSS
PAR2,KNN,0.5389002501563478,None,LogTSS
PAR3,KNN,0.6473758373758375,None,LogTSS
ART,KNN,0.5818692810457516,None,LogTSS
CDI,LogisticRegression,0.9168077932927556,None,LogTSS
CIR,LogisticRegression,0.8328242424242426,None,LogTSS
CRC1,LogisticRegression,0.666451441913296,None,LogTSS
CRC2,LogisticRegression,0.7934410774410775,None,LogTSS
CD1,LogisticRegression,0.8271089743589745,None,LogTSS
CD2,LogisticRegression,0.8256101792943897,None,LogTSS
HIV,LogisticRegression,0.8237432477905885,None,LogTSS
IBD1,LogisticRegression,0.8323516483516484,None,LogTSS
IBD2,LogisticRegression,0.6431404151404152,None,LogTSS
MHE,LogisticRegression,0.7365333333333334,None,LogTSS
OB,LogisticRegression,0.9108333333333334,None,LogTSS
PAR1,LogisticRegression,0.6733587301587302,None,LogTSS
PAR2,LogisticRegression,0.767195695226183,None,LogTSS
PAR3,LogisticRegression,0.77469712982213,None,LogTSS
ART,LogisticRegression,0.6304183006535947,None,LogTSS
CDI,RandomForest,0.8414549767275331,None,LogTSS
CIR,RandomForest,0.8027272727272728,None,LogTSS
CRC1,RandomForest,0.6910433590655084,None,LogTSS
CRC2,RandomForest,0.6256734006734007,None,LogTSS
CD1,RandomForest,0.6626570512820513,None,LogTSS
CD2,RandomForest,0.68044341623289,None,LogTSS
HIV,RandomForest,0.6911554912066309,None,LogTSS
IBD1,RandomForest,0.7672967032967033,None,LogTSS
IBD2,RandomForest,0.5803125763125764,None,LogTSS
MHE,RandomForest,0.7176363636363636,None,LogTSS
OB,RandomForest,0.8017395104895104,None,LogTSS
PAR1,RandomForest,0.628584126984127,None,LogTSS
PAR2,RandomForest,0.6031254951011049,None,LogTSS
PAR3,RandomForest,0.7018588011088012,None,LogTSS
ART,RandomForest,0.5706535947712418,None,LogTSS
CDI,SVM,0.9071649361498986,None,LogTSS
CIR,SVM,0.7948969696969695,None,LogTSS
CRC1,SVM,0.6691336705860906,None,LogTSS
CRC2,SVM,0.7763973063973063,None,LogTSS
CD1,SVM,0.8080416666666668,None,LogTSS
CD2,SVM,0.8119423558897242,None,LogTSS
HIV,SVM,0.7856911605830367,None,LogTSS
IBD1,SVM,0.8402307692307691,None,LogTSS
IBD2,SVM,0.6031208791208791,None,LogTSS
MHE,SVM,0.8116,None,LogTSS
OB,SVM,0.9104428904428904,None,LogTSS
PAR1,SVM,0.6712253968253968,None,LogTSS
PAR2,SVM,0.7450911159752622,None,LogTSS
