,Dataset,Model,AUC,AUC Std. Dev.,Accuracy,Time,FS_Method
435,HIV,RandomForest,0.7015262207109081,0.0700347233563906,0.8337142857142856,41.62405097961426,MIFS50
436,HIV,Boosting,0.6226074597524043,0.0596865023682998,0.8142857142857143,1.254650411605835,MIFS50
437,HIV,KNN,0.6684171492836016,0.0644537591010524,0.8291428571428571,0.7106514930725097,MIFS50
438,HIV,LogisticRegression,0.7193590492889149,0.0506983028843571,0.8302857142857144,0.8610823631286622,MIFS50
439,HIV,SVM,0.6833922214547579,0.0599252473776394,0.82,0.6039185237884521,MIFS50
440,OB,RandomForest,0.6784819347319347,0.0832570773160948,0.7751253132832079,19.210714826583864,MIFS50
441,OB,Boosting,0.6869813519813519,0.0872844250821846,0.7502130325814537,0.8917547607421875,MIFS50
442,OB,KNN,0.6933391608391608,0.0743838252494463,0.7865037593984963,0.3632085514068603,MIFS50
443,OB,LogisticRegression,0.7416550116550117,0.0801554257641847,0.7901629072681705,0.4358187294006347,MIFS50
444,OB,SVM,0.7543822843822844,0.0698682700896224,0.7936591478696742,0.3191053485870361,MIFS50
445,CDI,RandomForest,0.8945984007638142,0.0319395514570464,0.8154960491659351,12.20656623840332,MIFS50
446,CDI,Boosting,0.9007113020646856,0.028643286156391,0.8410974539069358,0.8660913276672363,MIFS50
447,CDI,KNN,0.8559990750686239,0.0470898204978707,0.7780158033362597,0.2678523921966553,MIFS50
448,CDI,LogisticRegression,0.904874388351832,0.02701771378335,0.8435469710272169,0.3294225978851318,MIFS50
449,CDI,SVM,0.9025438596491228,0.0329246352470882,0.79459174714662,0.2517715835571289,MIFS50
450,CIR,RandomForest,0.7224727272727273,0.1191634270687971,0.7145,8.518299913406372,MIFS50
451,CIR,Boosting,0.6816545454545455,0.1187563031626666,0.6705000000000001,0.4099352931976318,MIFS50
452,CIR,KNN,0.6156666666666666,0.1264460598856526,0.6703333333333333,0.2106155490875244,MIFS50
453,CIR,LogisticRegression,0.6941878787878787,0.1078788804902564,0.6896666666666667,0.2390284824371338,MIFS50
454,CIR,SVM,0.6700848484848484,0.1079390543271332,0.6578333333333333,0.1792014694213867,MIFS50
455,IBD1,RandomForest,0.7345054945054944,0.1446659369207429,0.7607017543859649,7.8483973979949955,MIFS50
456,IBD1,Boosting,0.7138406593406593,0.142728742381143,0.7410526315789474,0.4024069404602051,MIFS50
457,IBD1,KNN,0.7117747252747253,0.1316264584888873,0.7253801169590642,0.2045018672943115,MIFS50
458,IBD1,LogisticRegression,0.7512307692307693,0.1096142724887812,0.747251461988304,0.2366090679168701,MIFS50
459,IBD1,SVM,0.7606483516483518,0.1232517959001392,0.7425730994152047,0.1755070114135742,MIFS50
460,IBD2,RandomForest,0.6595750915750916,0.0987413151457102,0.626403162055336,5.549372959136963,MIFS50
461,IBD2,Boosting,0.670945054945055,0.1233601624881967,0.6296442687747036,0.424340181350708,MIFS50
462,IBD2,KNN,0.6461269841269841,0.1120938680747123,0.6005533596837944,0.1860597896575927,MIFS50
463,IBD2,LogisticRegression,0.6942344322344323,0.1143359496367907,0.6314624505928853,0.2088975429534912,MIFS50
464,IBD2,SVM,0.6858168498168499,0.1133586302026322,0.633201581027668,0.1614946937561035,MIFS50
465,MHE,RandomForest,0.761830303030303,0.1193663629128462,0.6920000000000001,8.43634762763977,MIFS50
466,MHE,Boosting,0.7063272727272728,0.139461658649399,0.6816666666666668,0.4385930061340332,MIFS50
467,MHE,KNN,0.7220969696969697,0.1287032426352581,0.5345,0.2104380226135254,MIFS50
468,MHE,LogisticRegression,0.7109575757575759,0.115697070654114,0.6940000000000001,0.236739330291748,MIFS50
469,MHE,SVM,0.7487636363636365,0.1357426647655379,0.6944999999999999,0.179547004699707,MIFS50
470,ART,RandomForest,0.503032679738562,0.122466831525053,0.7055335968379447,24.19667943954468,MIFS50
471,ART,Boosting,0.521202614379085,0.1446089714516004,0.6775494071146245,0.5603358650207519,MIFS50
472,ART,KNN,0.5250718954248366,0.1666504803110196,0.7563636363636363,0.4093957233428955,MIFS50
473,ART,LogisticRegression,0.526954248366013,0.1317438618226376,0.707193675889328,0.4877511692047119,MIFS50
474,ART,SVM,0.4828235294117647,0.1460980109993835,0.7158102766798419,0.3307989120483398,MIFS50
475,CRC2,RandomForest,0.6895892255892258,0.1119778628827256,0.6436190476190476,4.113736343383789,MIFS100
476,CRC2,Boosting,0.6596430976430977,0.0960574080032617,0.6428571428571429,1.3822865390777588,MIFS100
477,CRC2,KNN,0.7132053872053872,0.0865850703819183,0.6198095238095239,0.1201301097869873,MIFS100
478,CRC2,LogisticRegression,0.755016835016835,0.0922147786193801,0.6681904761904761,0.1366439437866211,MIFS100
479,CRC2,SVM,0.7396161616161616,0.1357213098238477,0.6287619047619049,0.1001757049560546,MIFS100
485,CRC1,RandomForest,0.6790680570454976,0.0612142226881155,0.640408163265306,26.348643503189088,MIFS100
486,CRC1,Boosting,0.6407961969668285,0.0575173750286249,0.6053061224489795,3.638378572463989,MIFS100
487,CRC1,KNN,0.6067874431192725,0.0528222055576745,0.586938775510204,0.4942998123168945,MIFS100
488,CRC1,LogisticRegression,0.6188854041774468,0.0546285657852303,0.5955102040816327,0.6203429985046387,MIFS100
489,CRC1,SVM,0.6256417898936356,0.0531262092958143,0.583265306122449,0.4870616436004639,MIFS100
490,CD1,RandomForest,0.7363541666666665,0.0953958564993965,0.6614285714285714,10.41943932533264,MIFS100
491,CD1,Boosting,0.743551282051282,0.0714805690716553,0.6971428571428571,0.505488748550415,MIFS100
492,CD1,KNN,0.7763237179487179,0.0664298896363474,0.667142857142857,0.2607638835906982,MIFS100
493,CD1,LogisticRegression,0.7852083333333334,0.0779380784901135,0.7014285714285715,0.3093456745147705,MIFS100
494,CD1,SVM,0.7991698717948716,0.0658086031684778,0.6857142857142858,0.2354160499572754,MIFS100
495,CD2,RandomForest,0.7898001413790887,0.0640029538853486,0.6975,10.642812633514405,MIFS100
496,CD2,Boosting,0.7862958678748153,0.0630077304511634,0.7225,0.5505940055847168,MIFS100
